Timestamp,Presiune1_Valva1,Presiune2_Valva1,Presiune1_Valva2,Presiune2_Valva2,Presiune1_Valva3,Presiune2_Valva3,Presiune1_Valva4,Presiune2_Valva4,pre_input,ex_0,Label
1778161368398,2114,769,1436,1029,6,48,8,3,2463,400,5
1778161368478,2121,765,1436,1029,7,49,11,3,2463,400,5
1778161368499,2127,764,1434,1029,6,49,8,4,2463,400,5
1778161368579,2143,733,1436,1030,9,49,12,4,2463,400,5
1778161368619,2169,729,1434,1030,5,47,8,3,2463,400,5
1778161368679,2217,636,1436,1029,6,48,8,3,2463,400,5
1778161368739,2279,265,1434,1030,7,48,11,1,2463,400,5
1778161368799,2338,51,1434,1029,6,49,12,1,2463,400,5
1778161368879,2365,65535,1436,1029,6,49,10,1,2463,400,5
1778161368939,2371,65535,1434,1029,6,47,12,3,2463,400,5
1778161368999,2378,65531,1436,1028,9,49,7,1,2463,400,5
1778161369039,2382,65531,1436,1029,9,49,12,3,2463,400,5
1778161369099,2384,65531,1434,1029,9,49,12,3,2463,400,5
1778161369178,2388,65534,1436,1028,7,49,8,1,2463,400,5
1778161369258,2389,65532,1434,1029,6,45,8,1,2463,400,5
1778161369279,2391,65532,1434,1029,7,47,10,3,2463,400,5
1778161369358,2390,65531,1436,1029,6,49,10,3,2463,400,5
1778161369399,2390,65530,1436,1029,6,47,10,3,2463,400,5
1778161369479,2389,65532,1436,1029,6,49,11,3,2463,400,5
1778161369538,2390,65531,1436,1030,6,51,14,4,2463,400,5
1778161369598,2390,65531,1434,1030,6,49,12,3,2463,400,5
1778161369658,2390,65531,1436,1029,9,48,8,1,2463,400,5
1778161369718,2066,2432,1436,1029,9,48,12,7,2463,400,5
1778161369799,1713,2355,1436,1029,5,48,8,4,2463,400,5
1778161369838,1543,2387,1436,1030,6,48,12,7,2463,400,5
1778161369899,1330,2340,1434,1029,5,49,12,3,2463,400,5
1778161369959,1148,2237,1436,1028,7,48,12,4,2463,400,5
1778161369998,1047,2288,1434,1030,5,51,11,4,2463,400,5
1778161370039,969,2270,1434,1029,9,49,12,4,2463,400,5
1778161370118,849,2258,1436,1029,5,48,12,4,2463,400,5
1778161370158,843,2144,1434,1030,7,48,14,3,2463,400,5
1778161370238,806,2086,1434,1030,6,49,12,3,2463,400,5
1778161370298,773,2193,1436,1029,7,48,14,3,2463,400,5
1778161370358,753,2284,1434,1029,7,48,12,4,2463,400,5
1778161370419,727,2238,1436,1030,6,49,8,1,2463,400,5
1778161370458,723,2108,1434,1030,6,48,14,4,2463,400,5
1778161370518,689,2152,1433,1029,6,48,11,3,2463,400,5
1778161370578,604,2245,1434,1029,6,49,8,3,2463,400,5
1778161370639,544,2251,1436,1031,6,48,12,7,2463,400,5
1778161370698,235,2281,1436,1030,6,48,10,3,2463,400,5
1778161370779,30,2346,1434,1030,6,48,11,3,2463,400,5
1778161370839,3,2359,1434,1029,9,49,10,1,2463,400,5
1778161370878,1,2361,1434,1029,5,49,12,3,2463,400,5
1778161370939,1,2363,1434,1028,6,49,10,3,2463,400,5
1778161371018,65534,2367,1434,1029,7,48,12,1,2463,400,5
1778161371039,65534,2367,1434,1029,7,49,11,1,2463,400,5
1778161371118,65534,2369,1434,1029,6,47,12,1,2463,400,5
1778161371178,65534,2369,1434,1029,5,48,12,3,2463,400,5
1778161371238,65533,2369,1436,1029,7,51,10,1,2463,400,5
1778161371299,65533,2369,1434,1029,6,49,10,1,2463,400,5
1778161371358,65534,2371,1437,1029,7,49,10,1,2463,400,5
1778161371418,0,2373,1434,1029,5,48,8,3,2463,400,5
1778161371498,65534,2372,1434,1030,7,47,10,3,2463,400,5
1778161371539,65533,2372,1434,1030,5,48,12,3,2463,400,5
1778161371598,65533,2373,1433,1030,6,48,8,1,2463,400,5
1778161371658,65534,2374,1434,1029,6,47,8,1,2463,400,5
1778161371718,2419,2305,1434,1029,7,48,11,4,2463,400,5
1778161371778,2389,2081,1436,1028,6,49,14,4,2463,400,5
1778161371838,2399,1840,1434,1029,6,51,8,1,2463,400,5
1778161371899,2411,1582,1434,1029,5,48,14,4,2463,400,5
1778161371958,2401,1358,1436,1030,6,51,12,4,2463,400,5
1778161372018,2308,1164,1434,1029,7,48,10,4,2463,400,5
1778161372079,2232,1009,1434,1029,9,49,10,3,2463,400,5
1778161372138,2238,896,1436,1030,7,51,10,4,2463,400,5
1778161372199,2207,820,1436,1030,5,47,14,4,2463,400,5
1778161372259,2177,785,1434,1029,7,49,14,4,2463,400,5
1778161372299,2156,776,1433,1029,9,48,12,4,2463,400,5
1778161372358,2163,785,1436,1028,6,49,10,3,2463,400,5
1778161372418,2231,769,1434,1029,6,48,8,4,2463,400,5
